State,ElectoralVotes,Dem,Rep
Alabama,9,38,61
Alaska,3,42,55
Arizona,11,44,54
Arkansas,6,37,61
California,55,59,38
Colorado,9,51,47
Connecticut,7,58,40
D.C.,3,91,7
Delaware,3,59,40
Florida,29,50,49
Georgia,16,45,53
Hawaii,4,71,28
Idaho,4,33,65
Illinois,20,57,41
Indiana,11,44,54
Iowa,6,52,47
Kansas,6,38,60
Kentucky,8,38,61
Louisiana,8,41,58
Maine,4,56,41
Maryland,10,62,37
Massachusetts,11,61,38
Michigan,16,54,45
Minnesota,10,53,45
Mississippi,6,44,56
Missouri,10,44,54
Montana,3,41,55
Nebraska,5,38,61
Nevada,6,52,46
New Hampshire,4,52,46
New Jersey,14,58,41
New Mexico,5,53,43
New York,29,63,36
North Carolina,15,48,51
North Dakota,3,39,59
Ohio,18,50,48
Oklahoma,7,33,67
Oregon,7,54,43
Pennsylvania,20,52,47
Rhode Island,4,63,36
South Carolina,9,44,55
South Dakota,3,40,58
Tennessee,11,39,60
Texas,38,41,57
Utah,6,25,73
Vermont,3,67,31
Virginia,13,51,48
Washington,12,56,42
West Virginia,5,36,62
Wisconsin,10,53,46
Wyoming,3,28,69
